epoch,test_loss,test_accuracy,test_precision,test_recall,test_f1-score
0.0,0.40773242712020874,0.33766233766233766,0.6673913043478261,0.5032467532467533,0.2572659451507828
1.0,0.2336941361427307,0.3463203463203463,0.668859649122807,0.5097402597402597,0.27156729664821966
2.0,0.1937924027442932,0.341991341991342,0.41773504273504275,0.4512987012987013,0.3205882352941176
3.0,0.17958003282546997,0.329004329004329,0.38573245707017173,0.40909090909090906,0.32168229610684856
4.0,0.171017587184906,0.38961038961038963,0.4407692307692308,0.44155844155844154,0.38956463069512903
5.0,0.16597650945186615,0.3939393939393939,0.45217391304347826,0.45454545454545453,0.39338235294117646
6.0,0.16437742114067078,0.42857142857142855,0.493167701863354,0.4935064935064935,0.428046218487395
7.0,0.16120249032974243,0.49783549783549785,0.543223736968725,0.5454545454545454,0.4970720720720721
8.0,0.15976379811763763,0.5281385281385281,0.5700664662130084,0.5746753246753247,0.526861717120469
9.0,0.1579059660434723,0.5584415584415584,0.5926774343842212,0.6006493506493507,0.5560370817003316
10.0,0.15690873563289642,0.5497835497835498,0.5948426573426573,0.6006493506493507,0.5487603305785123
11.0,0.15619121491909027,0.5714285714285714,0.6079943899018232,0.6168831168831169,0.56936258356087
12.0,0.15601478517055511,0.5800865800865801,0.6060606060606061,0.6168831168831168,0.5762429789889745
13.0,0.1557440608739853,0.5670995670995671,0.5911068702290077,0.6006493506493507,0.5627649909145973
14.0,0.1547767072916031,0.5627705627705628,0.5817657766990292,0.5909090909090908,0.5571604821106577
15.0,0.15487077832221985,0.5714285714285714,0.5841498341875189,0.5941558441558441,0.564076170869789
16.0,0.15486590564250946,0.5714285714285714,0.5873015873015872,0.5974025974025974,0.5650379443482891
17.0,0.1538204699754715,0.5627705627705628,0.5785714285714285,0.5876623376623377,0.556250832112901
18.0,0.15391896665096283,0.5584415584415584,0.5757874015748031,0.5844155844155844,0.5523255813953487
19.0,0.15353429317474365,0.5584415584415584,0.5726415094339623,0.5811688311688312,0.5513709063214014
20.0,0.15284718573093414,0.5541125541125541,0.5730051577669903,0.5811688311688312,0.5483913827465122
21.0,0.15306313335895538,0.5584415584415584,0.5757874015748031,0.5844155844155844,0.5523255813953487
22.0,0.15279723703861237,0.5541125541125541,0.5698412698412698,0.577922077922078,0.547463719877513
23.0,0.15316671133041382,0.5541125541125541,0.5698412698412698,0.577922077922078,0.547463719877513
24.0,0.15287847816944122,0.5541125541125541,0.5698412698412698,0.577922077922078,0.547463719877513
25.0,0.15301188826560974,0.5541125541125541,0.5698412698412698,0.577922077922078,0.547463719877513
26.0,0.15297114849090576,0.5541125541125541,0.5698412698412698,0.577922077922078,0.547463719877513
27.0,0.15305744111537933,0.5541125541125541,0.5698412698412698,0.577922077922078,0.547463719877513
28.0,0.1525430530309677,0.5541125541125541,0.5698412698412698,0.577922077922078,0.547463719877513
29.0,0.1523461937904358,0.5541125541125541,0.5698412698412698,0.577922077922078,0.547463719877513
30.0,0.1528378129005432,0.5541125541125541,0.5698412698412698,0.577922077922078,0.547463719877513
31.0,0.15293757617473602,0.5584415584415584,0.5726415094339623,0.5811688311688312,0.5513709063214014
32.0,0.1526946872472763,0.5541125541125541,0.5667395236659631,0.5746753246753247,0.5464630868645279
33.0,0.15301944315433502,0.5584415584415584,0.5695573622402891,0.577922077922078,0.5503435114503816
34.0,0.15252462029457092,0.5584415584415584,0.5695573622402891,0.577922077922078,0.5503435114503816
35.0,0.1524737924337387,0.5627705627705628,0.5723793051586705,0.5811688311688312,0.5542159466534191
36.0,0.1525532305240631,0.5627705627705628,0.5723793051586705,0.5811688311688312,0.5542159466534191
37.0,0.15274575352668762,0.5627705627705628,0.5723793051586705,0.5811688311688312,0.5542159466534191
38.0,0.15249022841453552,0.5627705627705628,0.5723793051586705,0.5811688311688312,0.5542159466534191
39.0,0.15239202976226807,0.5627705627705628,0.5723793051586705,0.5811688311688312,0.5542159466534191
40.0,0.15272095799446106,0.5627705627705628,0.5723793051586705,0.5811688311688312,0.5542159466534191
41.0,0.15303947031497955,0.5627705627705628,0.5723793051586705,0.5811688311688312,0.5542159466534191
42.0,0.15327748656272888,0.5627705627705628,0.5723793051586705,0.5811688311688312,0.5542159466534191
43.0,0.15233805775642395,0.5627705627705628,0.5723793051586705,0.5811688311688312,0.5542159466534191
44.0,0.15242138504981995,0.5627705627705628,0.5723793051586705,0.5811688311688312,0.5542159466534191
45.0,0.15316998958587646,0.5627705627705628,0.5723793051586705,0.5811688311688312,0.5542159466534191
46.0,0.15247578918933868,0.5627705627705628,0.5723793051586705,0.5811688311688312,0.5542159466534191
47.0,0.1533058136701584,0.5627705627705628,0.5723793051586705,0.5811688311688312,0.5542159466534191
48.0,0.15306086838245392,0.5627705627705628,0.5723793051586705,0.5811688311688312,0.5542159466534191
49.0,0.15301641821861267,0.5627705627705628,0.5723793051586705,0.5811688311688312,0.5542159466534191
50.0,0.15270407497882843,0.5627705627705628,0.5723793051586705,0.5811688311688312,0.5542159466534191
